store_id,store_name,city,region,manager_name
1,Riyadh Central,Riyadh,Central,Jessica Rodriguez
2,Jeddah Corniche,Jeddah,West,Rachael Bender
3,Dammam Mall,Dammam,East,Donald Ortiz
4,Al Jubayl Outlet,Al Jubayl,East,Karen Green
5,Khobar Branch,Khobar,East,Heather Jackson
6,Mecca Store,Mecca,West,Kristen Dorsey
7,Medina Store,Medina,West,Michael Banks
8,Dubai Marina,Dubai,UAE,Dr. Danielle Joyce DVM
9,Abu Dhabi Branch,Abu Dhabi,UAE,Brittney Mcdonald
10,Cairo Downtown,Cairo,Egypt,Kevin Henson
11,Alexandria Branch,Alexandria,Egypt,Barbara Thomas
12,Doha Branch,Doha,Qatar,George Wall
13,Kuwait Branch,Kuwait City,Kuwait,Joseph Garrison
14,Manama Branch,Manama,Bahrain,Gavin Smith
15,Amman Branch,Amman,Jordan,Timothy Melton
16,Riyadh North,Riyadh,Central,Jennifer Wall
17,Jeddah South,Jeddah,West,Phillip Martinez
18,Dammam Port,Dammam,East,Rebecca Rice
19,Online Store,N/A,Online,Charlene Chase
20,Riyadh Airport,Riyadh,Central,Patricia Macias
